importKey,type,level,primary,secondary,primaryOrder,secondaryOrder,archived
expense-primary-clothing,EXPENSE,PRIMARY,Clothing,,1,,false
expense-clothing-needed,EXPENSE,SECONDARY,Clothing,Needed,,1,false
expense-clothing-onsale,EXPENSE,SECONDARY,Clothing,OnSale,,2,false
expense-clothing-superflous,EXPENSE,SECONDARY,Clothing,Superflous,,3,false
expense-primary-fees,EXPENSE,PRIMARY,Fees,,2,,false
expense-fees-banks,EXPENSE,SECONDARY,Fees,Banks,,1,false
expense-fees-brokers,EXPENSE,SECONDARY,Fees,Brokers,,2,false
expense-primary-gifts,EXPENSE,PRIMARY,Gifts,,3,,false
expense-gifts-lavinia,EXPENSE,SECONDARY,Gifts,Lavinia,,1,false
expense-gifts-others,EXPENSE,SECONDARY,Gifts,Others,,2,false
expense-primary-groceries,EXPENSE,PRIMARY,Groceries,,4,,false
expense-groceries-carrefour,EXPENSE,SECONDARY,Groceries,Carrefour,,1,false
expense-groceries-esselunga,EXPENSE,SECONDARY,Groceries,Esselunga,,2,false
expense-groceries-lidl,EXPENSE,SECONDARY,Groceries,Lidl,,3,false
expense-groceries-othergroceries,EXPENSE,SECONDARY,Groceries,OtherGroceries,,4,false
expense-primary-health,EXPENSE,PRIMARY,Health,,5,,false
expense-health-medicines,EXPENSE,SECONDARY,Health,Medicines,,1,false
expense-health-sport,EXPENSE,SECONDARY,Health,Sport,,2,false
expense-primary-housing,EXPENSE,PRIMARY,Housing,,6,,false
expense-housing-electricity,EXPENSE,SECONDARY,Housing,Electricity,,1,false
expense-housing-furniture,EXPENSE,SECONDARY,Housing,Furniture,,2,false
expense-housing-internet,EXPENSE,SECONDARY,Housing,Internet,,3,false
expense-housing-phone,EXPENSE,SECONDARY,Housing,Phone,,4,false
expense-housing-rent,EXPENSE,SECONDARY,Housing,Rent,,5,false
expense-primary-leisure,EXPENSE,PRIMARY,Leisure,,7,,false
expense-leisure-extra,EXPENSE,SECONDARY,Leisure,Extra,,1,false
expense-leisure-tech,EXPENSE,SECONDARY,Leisure,Tech,,2,false
expense-primary-out,EXPENSE,PRIMARY,Out,,8,,false
expense-out-bar,EXPENSE,SECONDARY,Out,Bar,,1,false
expense-out-cinema,EXPENSE,SECONDARY,Out,Cinema,,2,false
expense-out-fooddelivery,EXPENSE,SECONDARY,Out,FoodDelivery,,3,false
expense-out-otheractivity,EXPENSE,SECONDARY,Out,OtherActivity,,4,false
expense-out-otherfood,EXPENSE,SECONDARY,Out,OtherFood,,5,false
expense-out-otherout,EXPENSE,SECONDARY,Out,OtherOut,,6,false
expense-out-restaurants,EXPENSE,SECONDARY,Out,Restaurants,,7,false
expense-primary-transport,EXPENSE,PRIMARY,Transport,,9,,false
expense-transport-airplane,EXPENSE,SECONDARY,Transport,Airplane,,1,false
expense-transport-carexpenses,EXPENSE,SECONDARY,Transport,CarExpenses,,2,false
expense-transport-carsharing,EXPENSE,SECONDARY,Transport,CarSharing,,3,false
expense-transport-fines,EXPENSE,SECONDARY,Transport,Fines,,4,false
expense-transport-generaltransport,EXPENSE,SECONDARY,Transport,GeneralTransport,,5,false
expense-transport-local,EXPENSE,SECONDARY,Transport,Local,,6,false
expense-transport-milan,EXPENSE,SECONDARY,Transport,Milan,,7,false
expense-transport-train,EXPENSE,SECONDARY,Transport,Train,,8,false
expense-primary-travel,EXPENSE,PRIMARY,Travel,,10,,false
expense-travel-holiday,EXPENSE,SECONDARY,Travel,Holiday,,1,false
expense-travel-holyday,EXPENSE,SECONDARY,Travel,Holyday,,2,false
expense-travel-local,EXPENSE,SECONDARY,Travel,Local,,3,false
expense-travel-travelexpenses,EXPENSE,SECONDARY,Travel,TravelExpenses,,4,false
