primary,secondary,categoryImportKey
Clothing,Needed,expense-clothing-needed
Clothing,OnSale,expense-clothing-onsale
Clothing,Superflous,expense-clothing-superflous
Fees,Banks,expense-fees-banks
Fees,Brokers,expense-fees-brokers
Gifts,Lavinia,expense-gifts-lavinia
Gifts,Others,expense-gifts-others
Groceries,Carrefour,expense-groceries-carrefour
Groceries,Esselunga,expense-groceries-esselunga
Groceries,Lidl,expense-groceries-lidl
Groceries,OtherGroceries,expense-groceries-othergroceries
Health,Medicines,expense-health-medicines
Health,Sport,expense-health-sport
Housing,Electricity,expense-housing-electricity
Housing,Furniture,expense-housing-furniture
Housing,Internet,expense-housing-internet
Housing,Phone,expense-housing-phone
Housing,Rent,expense-housing-rent
Leisure,Extra,expense-leisure-extra
Leisure,Tech,expense-leisure-tech
Out,Bar,expense-out-bar
Out,Cinema,expense-out-cinema
Out,FoodDelivery,expense-out-fooddelivery
Out,OtherActivity,expense-out-otheractivity
Out,OtherFood,expense-out-otherfood
Out,OtherOut,expense-out-otherout
Out,Restaurants,expense-out-restaurants
Transport,Airplane,expense-transport-airplane
Transport,CarExpenses,expense-transport-carexpenses
Transport,CarSharing,expense-transport-carsharing
Transport,Fines,expense-transport-fines
Transport,GeneralTransport,expense-transport-generaltransport
Transport,Local,expense-transport-local
Transport,Milan,expense-transport-milan
Transport,Train,expense-transport-train
Travel,Holiday,expense-travel-holiday
Travel,Holyday,expense-travel-holyday
Travel,Local,expense-travel-local
Travel,TravelExpenses,expense-travel-travelexpenses
