importKey,postedAt,kind,amount,description,notes,accountImportKey,direction,categoryImportKey,counterparty,sourceAccountImportKey,destinationAccountImportKey
tx-2025-11-13-autostrada,2025-11-13T00:00:00.000Z,EXPENSE,6.7,Autostrada,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-carexpenses,,,
tx-2025-11-13-snack,2025-11-13T00:00:00.000Z,EXPENSE,2.5,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-11-13-tr-physical-card-fee,2025-11-13T00:00:00.000Z,EXPENSE,5.0,TR Physical Card Fee,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-fees-banks,,,
tx-2025-11-15-dinner,2025-11-15T00:00:00.000Z,EXPENSE,68.0,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-11-15-gift,2025-11-15T00:00:00.000Z,EXPENSE,1.0,Gift,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-others,,,
tx-2025-11-16-rent,2025-11-16T00:00:00.000Z,EXPENSE,480.0,Rent,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-housing-rent,,,
tx-2025-11-17-dinner,2025-11-17T00:00:00.000Z,EXPENSE,10.11,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-11-18-drink,2025-11-18T00:00:00.000Z,EXPENSE,2.5,Drink,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2025-11-18-snack,2025-11-18T00:00:00.000Z,EXPENSE,5.0,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-11-19-chatgpt,2025-11-19T00:00:00.000Z,EXPENSE,15.32,ChatGPT,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-housing-phone,,,
tx-2025-11-19-consum,2025-11-19T00:00:00.000Z,EXPENSE,50.32,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-11-19-snack,2025-11-19T00:00:00.000Z,EXPENSE,0.45,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-11-20-attraction,2025-11-20T00:00:00.000Z,EXPENSE,8.5,Attraction,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-travel-holyday,,,
tx-2025-11-20-consum,2025-11-20T00:00:00.000Z,EXPENSE,5.52,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-11-20-snack,2025-11-20T00:00:00.000Z,EXPENSE,0.75,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-11-22-dinner,2025-11-22T00:00:00.000Z,EXPENSE,10.8,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-11-22-schedina,2025-11-22T00:00:00.000Z,EXPENSE,5.0,Schedina,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-leisure-extra,,,
tx-2025-11-23-padel,2025-11-23T00:00:00.000Z,EXPENSE,4.0,Padel,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-health-sport,,,
tx-2025-11-24-consum,2025-11-24T00:00:00.000Z,EXPENSE,8.68,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-11-24-hotel,2025-11-24T00:00:00.000Z,EXPENSE,17.0,Hotel,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-travel-holyday,,,
